item_id,categoria,nombre_de_producto,precio_de_producto,descuento,url_producto 
819265Cal,Calzones,Cuadro Maxi 2361 Algodon Intime,$4.990,$0,https://www.paris.cl/cuadro-maxi-2361-algodon-intime-819265.html?dwvar_819265_color=0100&cgid=mujIntCalzones
580465Cal,Calzones,Calzon Black Ecru Tiras Women Secret,$9.990,$0,https://www.paris.cl/calzon-black-ecru-tiras-womensecret-580465.html?dwvar_580465_color=0211&cgid=mujIntCalzones
372251Cal,Calzones,Calzon Tipo Encaje Alaniz,$4.990,$0,https://www.paris.cl/calzon-tipo-encaje-alaniz-372251.html?dwvar_372251_color=0001&cgid=mujIntCalzones
388782Cal,Calzones,Pack 3 Pantaleta Algodon 98691 Intime,$7.990,$0,https://www.paris.cl/pack-3-pantaleta-algodon-98691-intime-388782.html?dwvar_388782_color=0999&cgid=mujIntCalzones
695871Cal,Calzones,Calzon Boxer 4138 Flores,$7.990,$0,https://www.paris.cl/calzon-boxer-4138-flores-695871.html?dwvar_695871_color=0001&cgid=mujIntCalzones
236513Cal,Calzones,Pack 3 Pantaleta algodon Elasticado 96881 Intime,$8.990,$0,https://www.paris.cl/pack-3-pantaleta-algodon-elasticado-96881-intime-236513.html?dwvar_236513_color=0021&cgid=mujIntCalzones
347011Cal,Calzones,Pack 3X Calzon Pantaleta 11660 Flores,$9.990,$0,https://www.paris.cl/pack-3x-calzon-pantaleta-11660-flores-347011.html?dwvar_347011_color=0999&cgid=mujIntCalzones
481186Cal,Calzones,Calzon Autumn Femenine Women Secret,$5.490,$4.500,https://www.paris.cl/calzon-autumn-femenine-womensecret-481186.html?dwvar_481186_color=0660&cgid=mujIntCalzones
236792Cal,Calzones,Pack 3 Pantaletas Algodon Elasticado 98699 Intime,$7.990,$0,https://www.paris.cl/pack-3-pantaletas-algodon-elasticado-98699-intime-236792.html?dwvar_236792_color=0001&cgid=mujIntCalzones
372249Cal,Calzones,Calzon Encaje Colaless Alaniz,$4.990,$0,https://www.paris.cl/calzon-encaje-colaless-alaniz-372249.html?dwvar_372249_color=0020&cgid=mujIntCalzones
212958Cal,Calzones,Pack 2 Pantaleta Algodon Elasticado 14702P Intime,$5.990,$0,https://www.paris.cl/pack-2-pantaleta-algodon-elasticado-14702p-intime-212958.html?dwvar_212958_color=0100&cgid=mujIntCalzones
749770Cal,Calzones,Pantaleta Reductora Seamless 87022 Intime,$3.990,$0,https://www.paris.cl/pantaleta-reductora-seamless-87022-intime-749770.html?dwvar_749770_color=0100&cgid=mujIntCalzones
363175Cal,Calzones,Calzon Colaless 11885 Flores,$4.490,$0,https://www.paris.cl/calzon-colaless-11885-flores-363175.html?dwvar_363175_color=0011&cgid=mujIntCalzones
388785Cal,Calzones,Pack 3 Culotte Algodon 98693 Intime,$7.990,$0,https://www.paris.cl/pack-3-culotte-algodon-98693-intime-388785.html?dwvar_388785_color=0999&cgid=mujIntCalzones
432518Cal,Calzones,Bikini Encaje Opposite,$4.990,$0,https://www.paris.cl/bikini-encaje-opposite-432518.html?dwvar_432518_color=0001&cgid=mujIntCalzones
515448Cal,Calzones,Calzon Tejido Flores Opposite,$3.990,$0,https://www.paris.cl/calzon-tejido-flores-opposite-515448.html?dwvar_515448_color=0001&cgid=mujIntCalzones
372265Cal,Calzones,Calzon Colaless Cuadro Alaniz,$4.990,$0,https://www.paris.cl/calzon-colaless-cuadro-alaniz-372265.html?dwvar_372265_color=0001&cgid=mujIntCalzones
457382Cal,Calzones,Pack 3X Calzon Bikini 11661 Flores,$8.990,$0,https://www.paris.cl/pack-3x-calzon-bikini-11661-flores-457382.html?dwvar_457382_color=0999&cgid=mujIntCalzones
940374Cal,Calzones,Calzon Bikini Encaje Opposite,$3.990,$0,https://www.paris.cl/calzon-bikini-encaje-opposite-940374.html?dwvar_940374_color=0021&cgid=mujIntCalzones
598050Cal,Calzones,Calzon Encaje Opposite,$3.990,$0,https://www.paris.cl/calzon-encaje-opposite-598050.html?dwvar_598050_color=0021&cgid=mujIntCalzones
484747Cal,Calzones,Calzon Maxi Palmers,$5.990,$0,https://www.paris.cl/calzon-maxi-palmers-484747.html?dwvar_484747_color=0100&cgid=mujIntCalzones
481170Cal,Calzones,Calzon Autumn Femenine Women Secret,$5.490,$4.500,https://www.paris.cl/calzon-autumn-femenine-womensecret-481170.html?dwvar_481170_color=0311&cgid=mujIntCalzones
598013Cal,Calzones,Calzon Bikini Microfibra Opposite,$3.490,$1.500,https://www.paris.cl/calzon-bikini-microfibra-opposite-598013.html?dwvar_598013_color=0460&cgid=mujIntCalzones
393815Cal,Calzones,Calzon Funcional Bermuda Liz,$10.790,$7.200,https://www.paris.cl/calzon-funcional-bermuda-liz-393815.html?dwvar_393815_color=0001&cgid=mujIntCalzones
580463Cal,Calzones,Calzon Black Ecru Flores Women Secret,$9.990,$0,https://www.paris.cl/calzon-black-ecru-flores-womensecret-580463.html?dwvar_580463_color=0001&cgid=mujIntCalzones
